soc_code,job_title,automation_risk,annual_mean_salary,total_employment,creativity_level,manual_dexterity,critical_thinking
11-1011,Chief Executives,0.015,194350.0,223260,4.125,0.0,4.4350000000000005
11-1021,General and Operations Managers,0.16,122090.0,2188870,3.5,0.5,3.88
11-2011,Advertising and Promotions Managers,0.039,117810.0,28860,4.0,0.38,4.12
11-2021,Marketing Managers,0.014,144140.0,205900,4.0,0.38,4.12
11-2022,Sales Managers,0.013,135090.0,365230,3.88,0.38,4.0
11-3021,Computer and Information Systems Managers,0.035,145740.0,352510,3.5,2.0,4.0
11-3031,Financial Managers,0.069,139720.0,543300,3.456666666666667,0.29333333333333333,4.376666666666666
11-3051,Industrial Production Managers,0.03,107060.0,168400,3.3533333333333335,2.145,3.98
11-3061,Purchasing Managers,0.03,117720.0,71750,3.75,0.0,4.0
11-3071,Transportation; Storage; and Distribution Managers,0.59,97630.0,113270,3.25,0.5,3.81
11-3111,Compensation and Benefits Managers,0.96,126900.0,15230,3.12,0.0,4.0
11-3121,Human Resources Managers,0.0055,120210.0,129810,4.0,0.12,4.25
11-3131,Training and Development Managers,0.0063,115180.0,32880,3.88,0.62,4.0
11-9013,Farmers; Ranchers; and Other Agricultural Managers,0.047,75790.0,4560,3.62,2.5,4.0
11-9021,Construction Managers,0.071,99510.0,249650,3.25,1.25,4.38
11-9031,Education Administrators; Preschool and Childcare Center/Program,0.015,52150.0,48530,3.75,1.25,4.0
11-9032,Education Administrators; Elementary and Secondary School,0.0046,95390.0,242970,4.0,0.0,4.5
11-9033,Education Administrators; Postsecondary,0.01,105770.0,138430,4.0,0.0,4.25
11-9041,Architectural and Engineering Managers,0.017,143870.0,178390,4.0600000000000005,2.19,4.1850000000000005
11-9051,Food Service Managers,0.083,56010.0,201470,3.0,3.0,3.75
11-9071,Gaming Managers,0.091,79690.0,4280,2.88,1.0,4.0
11-9081,Lodging Managers,0.0039,59410.0,35410,3.62,1.75,3.88
11-9111,Medical and Health Services Managers,0.0073,109370.0,332150,3.75,0.5,4.12
11-9121,Natural Sciences Managers,0.018,136150.0,54780,3.4599999999999995,0.24666666666666667,4.126666666666666
11-9131,Postmasters and Mail Superintendents,0.75,71980.0,14720,3.0,0.0,3.88
11-9141,Property; Real Estate; and Community Association Managers,0.81,70290.0,180290,3.0,0.5,4.0
11-9151,Social and Community Service Managers,0.0067,70870.0,126230,3.75,0.62,4.12
11-9161,Emergency Management Directors,0.003,78060.0,9570,4.12,1.0,4.38
11-9199,Managers; All Other,0.25,112150.0,403670,3.2883333333333336,0.9166666666666666,4.125
13-1011,Agents and Business Managers of Artists; Performers; and Athletes,0.24,86560.0,13470,3.38,0.25,3.75
13-1021,Buyers and Purchasing Agents; Farm Products,0.87,63910.0,11490,3.12,0.25,4.0
13-1022,Wholesale and Retail Buyers; Except Farm Products,0.29,60040.0,109440,3.0,1.0,4.0
13-1023,Purchasing Agents; Except Wholesale; Retail; and Farm Products,0.77,67420.0,297600,3.0,0.0,3.88
13-1031,Claims Adjusters; Examiners; and Investigators,0.98,64990.0,274420,2.62,0.88,4.25
13-1032,Insurance Appraisers; Auto Damage,0.98,65930.0,15130,2.62,1.38,3.75
13-1041,Compliance Officers,0.08,70250.0,273910,3.051428571428571,1.1785714285714286,4.1414285714285715
13-1051,Cost Estimators,0.57,66620.0,214610,3.0,0.12,4.12
13-1074,Farm Labor Contractors,0.97,47290.0,810,2.0,2.12,3.0
13-1081,Logisticians,0.012,77810.0,146060,3.8766666666666665,0.20666666666666667,4.246666666666667
13-1111,Management Analysts,0.13,91910.0,637690,3.75,0.0,4.12
13-1121,Meeting; Convention; and Event Planners,0.037,52020.0,95850,3.62,2.0,3.88
13-1141,Compensation; Benefits; and Job Analysis Specialists,0.47,66490.0,79190,3.25,0.38,3.88
13-1151,Training and Development Specialists,0.014,63350.0,269710,3.88,0.0,4.0
13-1161,Market Research Analysts and Marketing Specialists,0.61,70620.0,558630,3.63,0.44,3.94
13-1199,Business Operations Specialists; All Other,0.23,74870.0,958670,3.5324999999999998,0.47,4.125
13-2011,Accountants and Auditors,0.94,76730.0,1246540,3.0,1.0,3.5
13-2031,Budget Analysts,0.94,77170.0,54700,3.0,0.62,3.88
13-2041,Credit Analysts,0.98,81160.0,72930,2.62,0.62,4.0
13-2052,Personal Financial Advisors,0.58,123100.0,201850,3.0,0.0,4.12
13-2053,Insurance Underwriters,0.99,75480.0,91650,2.75,0.75,3.88
13-2061,Financial Examiners,0.17,88940.0,49750,3.12,0.12,4.5
13-2071,Credit Counselors,0.04,49480.0,34110,3.0,0.38,4.0
13-2072,Loan Officers,0.98,76260.0,305700,2.5,1.0,4.0
13-2081,Tax Examiners and Collectors; and Revenue Agents,0.93,57950.0,58450,2.62,1.0,3.75
13-2082,Tax Preparers,0.99,45340.0,70030,3.0,0.38,3.62
13-2099,Financial Specialists; All Other,0.33,76230.0,123270,3.37,0.31,4.625
15-2011,Actuaries,0.21,114120.0,19940,3.62,0.0,4.88
15-2021,Mathematicians,0.047,105600.0,2730,4.75,0.0,5.0
15-2031,Operations Research Analysts,0.035,84340.0,109150,4.0,0.0,4.12
15-2041,Statisticians,0.22,85160.0,33440,3.75,0.25,4.6899999999999995
17-1011,Architects; Except Landscape and Naval,0.018,84470.0,99860,4.38,1.88,4.75
17-1012,Landscape Architects,0.045,68820.0,19420,4.0,1.62,3.88
17-1021,Cartographers and Photogrammetrists,0.88,66160.0,12100,3.0,2.0,3.75
17-1022,Surveyors,0.38,63480.0,43340,2.94,2.375,4.0600000000000005
17-2011,Aerospace Engineers,0.017,112010.0,68510,4.12,0.0,4.88
17-2021,Agricultural Engineers,0.49,77330.0,1980,3.62,1.25,4.0
17-2031,Biomedical Engineers,0.037,89970.0,20590,4.38,1.88,4.62
17-2041,Chemical Engineers,0.017,105420.0,31990,4.0,0.12,5.0
17-2051,Civil Engineers,0.019,89730.0,287800,3.8766666666666665,0.16666666666666666,4.246666666666667
17-2061,Computer Hardware Engineers,0.22,118700.0,72950,4.0,1.88,4.12
17-2071,Electrical Engineers,0.1,98620.0,183770,3.5,2.12,4.12
17-2072,Electronics Engineers; Except Computer,0.025,103760.0,132100,3.56,2.44,4.0
17-2081,Environmental Engineers,0.018,88530.0,52280,4.0,0.0,4.0
17-2111,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,0.028,90190.0,25410,3.5,0.0,4.0649999999999995
17-2112,Industrial Engineers,0.029,88530.0,256550,3.6550000000000002,0.655,4.155
17-2121,Marine Engineers and Naval Architects,0.01,99860.0,8120,3.88,2.12,4.38
17-2131,Materials Engineers,0.021,97050.0,26800,4.25,1.88,4.38
17-2141,Mechanical Engineers,0.011,89800.0,285790,4.206666666666667,1.4166666666666667,4.373333333333334
17-2151,Mining and Geological Engineers; Including Mining Safety Engineers,0.14,103010.0,6940,3.88,0.0,4.5
17-2161,Nuclear Engineers,0.07,105950.0,17680,3.88,0.5,4.88
17-2171,Petroleum Engineers,0.16,147030.0,32780,3.88,0.0,4.38
17-2199,Engineers; All Other,0.014,99250.0,123390,4.1075,1.8275000000000001,4.39
17-3011,Architectural and Civil Drafters,0.52,54290.0,96810,3.25,1.62,3.75
17-3012,Electrical and Electronics Drafters,0.81,63390.0,26750,3.0,1.62,3.62
17-3013,Mechanical Drafters,0.68,57480.0,63630,3.12,1.88,3.62
17-3021,Aerospace Engineering and Operations Technicians,0.48,71070.0,11970,3.0,3.0,4.0
17-3022,Civil Engineering Technicians,0.75,52120.0,72150,2.88,1.88,3.62
17-3023,Electrical and Electronics Engineering Technicians,0.84,62950.0,134870,2.88,3.0,3.62
17-3024,Electro-Mechanical Technicians,0.81,57860.0,13710,3.185,3.63,3.875
17-3025,Environmental Engineering Technicians,0.25,52500.0,16550,3.0,2.75,4.0
17-3026,Industrial Engineering Technicians,0.03,56920.0,63220,3.565,2.13,3.94
17-3027,Mechanical Engineering Technicians,0.38,57180.0,45510,3.25,2.75,3.63
17-3029,Engineering Technicians; Except Drafters; All Other,0.24,64050.0,74290,2.88,3.0,3.62
17-3031,Surveying and Mapping Technicians,0.96,45490.0,53920,2.5,2.25,3.62
19-1011,Animal Scientists,0.061,72890.0,2470,3.88,0.12,4.25
19-1012,Food Scientists and Technologists,0.077,71270.0,14200,4.0,2.0,4.5
19-1013,Soil and Plant Scientists,0.021,69290.0,14690,4.0,1.88,4.38
19-1021,Biochemists and Biophysicists,0.027,94340.0,29200,4.62,2.12,5.12
19-1022,Microbiologists,0.012,76850.0,21670,4.38,2.5,4.62
19-1023,Zoologists and Wildlife Biologists,0.3,64890.0,17720,3.38,1.88,4.0
19-1029,Biological Scientists; All Other,0.015,77830.0,35110,4.1899999999999995,1.565,4.7225
19-1031,Conservation Scientists,0.016,65130.0,20470,3.5,2.0,3.8333333333333335
19-1032,Foresters,0.0081,60300.0,8420,3.5,2.12,4.12
19-1041,Epidemiologists,0.2,77720.0,5690,4.12,0.12,4.62
19-1042,Medical Scientists; Except Epidemiologists,0.0045,95000.0,108870,4.0,2.12,4.75
19-2011,Astronomers,0.041,110380.0,1830,4.12,0.25,4.12
19-2012,Physicists,0.1,121770.0,16680,5.5,0.38,5.0
19-2021,Atmospheric and Space Scientists,0.67,94840.0,9800,3.12,0.25,4.12
19-2031,Chemists,0.1,80820.0,86660,3.38,2.62,4.25
19-2032,Materials Scientists,0.021,101570.0,7750,4.12,1.12,4.25
19-2041,Environmental Scientists and Specialists; Including Health,0.033,75360.0,84250,3.75,0.6575,4.155
19-2042,Geoscientists; Except Hydrologists and Geographers,0.63,106390.0,30420,3.25,1.25,4.25
19-2043,Hydrologists,0.014,83740.0,6300,4.0,1.75,4.75
19-2099,Physical Scientists; All Other,0.43,98460.0,18960,3.88,1.62,4.38
19-3011,Economists,0.43,112860.0,19380,3.75,0.0,4.5
19-3022,Survey Researchers,0.23,59950.0,11930,3.25,0.25,4.88
19-3032,Industrial-Organizational Psychologists,0.012,104570.0,1020,4.0,0.0,4.5
19-3039,Psychologists; All Other,0.0043,94650.0,13310,3.62,1.38,4.5
19-3041,Sociologists,0.059,86840.0,2870,3.88,0.0,4.38
19-3051,Urban and Regional Planners,0.13,73060.0,34810,4.0,0.0,4.25
19-3091,Anthropologists and Archeologists,0.0077,66440.0,6470,3.25,1.38,4.75
19-3092,Geographers,0.25,74090.0,1370,3.38,0.25,4.0
19-3093,Historians,0.44,60990.0,2950,3.0,0.25,4.38
19-3094,Political Scientists,0.039,112250.0,6350,3.5,0.0,4.75
19-3099,Social Scientists and Related Workers; All Other,0.04,80860.0,36380,4.0,0.12,4.25
19-4021,Biological Technicians,0.3,46130.0,74720,3.0,3.0,4.0
19-4031,Chemical Technicians,0.57,49770.0,65510,3.12,3.0,4.12
19-4051,Nuclear Technicians,0.85,77820.0,6840,2.81,2.63,3.69
19-4061,Social Science Research Assistants,0.65,46820.0,30030,3.0,0.25,3.88
19-4092,Forensic Science Technicians,0.0095,60690.0,14800,3.12,2.88,4.12
19-4099,Life; Physical; and Social Science Technicians; All Other,0.61,49270.0,68540,3.25,2.5,3.75
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.033,44160.0,91040,3.12,0.12,4.12
21-1012,Educational; Guidance; School; and Vocational Counselors,0.0085,57620.0,260670,3.5,0.25,4.0
21-1013,Marriage and Family Therapists,0.014,54090.0,36960,3.5,0.0,4.12
21-1014,Mental Health Counselors,0.0048,46050.0,139820,4.0,0.5,4.38
21-1015,Rehabilitation Counselors,0.0094,38740.0,103030,3.5,0.5,4.0
21-1021,Child; Family; and School Social Workers,0.028,47510.0,298840,3.38,0.12,4.25
21-1022,Healthcare Social Workers,0.0035,55510.0,159310,3.62,0.5,4.0
21-1023,Mental Health and Substance Abuse Social Workers,0.0031,47880.0,114040,3.88,0.12,4.0
21-1091,Health Educators,0.045,57900.0,57570,3.38,1.75,4.0
21-1092,Probation Officers and Correctional Treatment Specialists,0.25,55380.0,87500,3.12,1.38,4.0
21-1093,Social and Human Service Assistants,0.13,34120.0,360650,3.25,0.5,4.0
21-2011,Clergy,0.0081,49450.0,49320,3.88,0.25,3.88
21-2021,Directors; Religious Activities and Education,0.025,44840.0,20590,3.25,0.0,4.0
23-1011,Lawyers,0.035,139880.0,619530,4.0,0.12,5.0
23-1012,Judicial Law Clerks,0.41,59840.0,13410,2.88,0.38,4.62
23-1021,Administrative Law Judges; Adjudicators; and Hearing Officers,0.64,95240.0,14540,3.12,0.38,5.25
23-1022,Arbitrators; Mediators; and Conciliators,0.06,72730.0,6300,3.12,0.0,4.75
23-1023,Judges; Magistrate Judges; and Magistrates,0.4,115460.0,27210,3.12,0.0,5.75
23-2011,Paralegals and Legal Assistants,0.94,53180.0,277310,2.88,1.0,3.62
23-2093,Title Examiners; Abstractors; and Searchers,0.99,51490.0,54560,1.88,0.75,3.62
25-2011,Preschool Teachers; Except Special Education,0.0074,33300.0,385550,3.62,2.0,3.12
25-2012,Kindergarten Teachers; Except Special Education,0.15,55460.0,151290,3.38,1.12,3.75
25-2021,Elementary School Teachers; Except Special Education,0.0044,59020.0,1392660,3.88,0.5,3.88
25-2022,Middle School Teachers; Except Special and Career/Technical Education,0.17,59800.0,626310,3.25,0.38,3.88
25-2023,Career/Technical Education Teachers; Middle School,0.26,60350.0,12730,3.62,1.88,4.0
25-2031,Secondary School Teachers; Except Special and Career/Technical Education,0.0078,61420.0,1003250,3.88,0.12,4.0
25-2032,Career/Technical Education Teachers; Secondary School,0.0088,59480.0,80100,3.88,2.38,4.0
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.19,55140.0,58810,3.12,0.0,3.5
25-3021,Self-Enrichment Education Teachers,0.13,43150.0,229840,3.25,1.38,3.12
25-4011,Archivists,0.76,54570.0,5760,3.0,2.0,3.88
25-4012,Curators,0.0068,58910.0,11170,4.12,1.88,4.38
25-4013,Museum Technicians and Conservators,0.59,44780.0,10970,3.25,2.62,3.62
25-4031,Library Technicians,0.99,34780.0,93410,2.12,2.12,3.25
25-9021,Farm and Home Management Advisors,0.0075,52150.0,8620,4.0,1.25,3.88
25-9031,Instructional Coordinators,0.0042,65500.0,147330,3.75,0.25,4.12
27-1011,Art Directors,0.023,101170.0,36210,4.38,2.0,4.0
27-1012,Craft Artists,0.035,38900.0,5070,4.12,3.5,3.12
27-1013,Fine Artists; Including Painters; Sculptors; and Illustrators,0.042,57410.0,11520,4.62,3.62,3.25
27-1014,Multimedia Artists and Animators,0.015,72200.0,29810,4.0,2.25,3.75
27-1021,Commercial and Industrial Designers,0.037,70880.0,31860,4.38,1.75,4.0
27-1022,Fashion Designers,0.021,76480.0,19230,4.38,2.12,4.0
27-1023,Floral Designers,0.047,27610.0,43990,3.25,2.5,3.12
27-1024,Graphic Designers,0.082,52290.0,210710,4.0,2.0,3.88
27-1025,Interior Designers,0.022,56220.0,53160,4.0,0.0,4.0
27-1026,Merchandise Displayers and Window Trimmers,0.48,30090.0,114690,3.25,2.88,3.38
27-1027,Set and Exhibit Designers,0.0055,57600.0,12060,3.88,2.75,3.75
27-2012,Producers and Directors,0.022,93840.0,114510,3.7824999999999998,1.4675,4.0600000000000005
27-2021,Athletes and Sports Competitors,0.28,83730.0,10260,3.0,3.25,3.12
27-2022,Coaches and Scouts,0.013,41000.0,230930,3.88,1.88,4.0
27-2023,Umpires; Referees; and Other Sports Officials,0.98,35540.0,18660,1.75,0.75,3.5
27-2032,Choreographers,0.004,53610.0,5160,4.25,1.62,3.38
27-2041,Music Directors and Composers,0.015,60630.0,18380,4.12,2.25,3.75
27-3011,Radio and Television Announcers,0.1,48170.0,29210,3.88,1.62,4.0
27-3031,Public Relations Specialists,0.18,66540.0,226940,3.88,0.0,4.12
27-3041,Editors,0.055,66080.0,97170,3.88,1.12,4.0
27-3042,Technical Writers,0.89,73160.0,49780,3.0,1.0,3.88
27-3043,Writers and Authors,0.038,71920.0,44690,4.25,1.06,3.815
27-3091,Interpreters and Translators,0.38,51260.0,51350,3.0,0.5,3.88
27-4011,Audio and Video Equipment Technicians,0.55,47450.0,69670,2.88,3.12,3.75
27-4012,Broadcast Technicians,0.74,45430.0,30330,3.0,2.88,3.38
27-4014,Sound Engineering Technicians,0.13,65240.0,15210,3.38,2.88,3.75
27-4021,Photographers,0.021,42640.0,48660,3.88,2.88,3.25
27-4031,Camera Operators; Television; Video; and Motion Picture,0.6,63200.0,21710,3.12,3.0,3.5
27-4032,Film and Video Editors,0.31,82190.0,29880,3.62,2.12,3.5
29-1011,Chiropractors,0.027,81210.0,32960,3.12,3.0,4.12
29-1021,Dentists; General,0.0044,173860.0,105620,3.5,4.62,4.25
29-1022,Oral and Maxillofacial Surgeons,0.0036,232870.0,5380,3.75,5.25,5.0
29-1023,Orthodontists,0.023,228780.0,5200,3.25,3.88,4.0
29-1024,Prosthodontists,0.055,168140.0,750,3.12,3.62,4.0
29-1031,Dietitians and Nutritionists,0.0039,59670.0,61430,3.88,0.25,4.12
29-1041,Optometrists,0.14,117580.0,36430,3.0,3.25,4.25
29-1051,Pharmacists,0.012,120270.0,305510,3.0,2.38,4.12
29-1071,Physician Assistants,0.14,102090.0,104050,2.875,2.815,4.25
